Title,Company,Location,Salary,Job Type,Date Posted,Summary
Business Analyst,IPNX NIGERIA LIMITED,Lagos,,Full-time,PostedPosted 4 days ago," Review process data to determine/ensure that the output of the process are achieving the desired results.
The purpose of this job is for the Business Analyst…"
Application Analyst Intern,FHI 360,Abuja,,Full-time,PostedToday,"Provide insights from data and improve the accuracy of evaluation results.
Knowledge of data science and machine learning algorithms and techniques."
Patient Care Analyst,Helium Health,Nigeria,,Full-time,PostedPosted 13 days ago,"Ensure all relevant communications and data are updated and recorded.
The Patient Care Analyst is to provide outstanding service to our customers and potential…"
Marketing Analyst - Lagos,Kerry,Lagos,,,PostedPosted 30+ days ago,"Analysis and interpretation of market and consumer data.
Designing or assisting in the development of questionnaires and moderator guides to ensure the…"
Financial Analyst Associate I,Herbal Goodness,Abuja,,Full-time,PostedPosted 10 days ago,We are seeking a talented financial analyst with an accounting background and data analysis expertise to make a significant impact on a growing business.
Chief of Staff & Operations,Shekel Mobility,Lagos,,,PostedPosted 11 days ago,"Knowledge of data analytics, budget management and reporting.
We are seeking a dynamic and strategic Chief of Staff & Operations to work closely with me to…"
Procurement Operations Admin Analyst,Seven Up Bottling Company,Lagos,,,PostedPosted 4 days ago,"Maintaining updated records of purchases, invoices, delivery information, and other essential data.
SBC has recently entered into Home & Personal Care category…"
"Head, Data Analyst",Workforce Group,Lagos,,,PostedPosted 21 days ago,"Acquire data from primary or secondary data sources, administer and maintain databases/data systems.
The Data Analyst must have strong experience using a…"
OFFICE ADMINISTRATOR/CUSTOMER RELATIONSHIP OFFICER -Ilupeju,West Africa Vocational Education (WAVE),Lagos,"₦60,000 - ₦80,000 a month",Full-time,PostedPosted 27 days ago,"3.Study past sales data to determine trends in productivity.
1.Collect data from sales reports for analysis.
We are looking for a Sales Analyst to join our team…"
"Analyst, Business Intelligence & Strategic Projects",Daystar Power,Lagos,,,PostedPosted 30+ days ago,"Proficiency in data analysis tools and business intelligence software.
The analyst will contribute to the success of Daystar by supporting the Business…"
AI/ML Expert,Punch Digital Agency,Lagos,,Full-time,EmployerActive 5 days ago,"Work closely with data scientists and analysts to create and deploy new product features,.
This is a unique hybrid role that will focus on your knowledge of…"
Business Development Analyst,GKT Consults,Lagos,,Full-time,PostedPosted 1 day ago,"Technology Proficiency: Familiarity with data analysis tools, business intelligence software, and proficiency in Microsoft Excel.
Master’s degree is a plus."
Market Operations Analyst,NASD,Lagos,,,PostedPosted 30+ days ago,"Market data statistics capture, market trend research and report generation.
These will include market setup, monitoring, training, data maintenance, reporting,…"
GPON Deployment Supervisor- Fibre Projects,IPNX NIGERIA LIMITED,Lagos,,,EmployerActive 6 days ago,"Provide daily project work plan and activity reports to team lead/data analyst, every day, throughout the duration of the project."
Business Analyst (Management Consulting),Stantec,Abeokuta,,,PostedPosted 8 days ago,"\tAcquire data from primary or secondary data sources to update and maintain databases.
Experience in IBM/Google/Microsoft analytics tools related to data…"
Demand Operations Specialist,Mevron,Ibadan,,,PostedPosted 30+ days ago,"Work closely with data analysts to gather and interpret user data, enabling data-driven decision-making for demand-side operations."
Systems Analyst (Applications Administrator),Worley,Nigeria,,Full-time,PostedPosted 21 days ago,"Â·Maintain data import configuration.
Â·Maintain data import configuration.
Â·Performing data import to support projects that used clientâs system…"
Telesales Marketer,VeendHQ,Lagos,,,EmployerActive 15 days ago,"Analyze sales data and performance metrics to identify trends and areas for improvement.
Company Overview*: Veendhq (TechStars) is a leading startup committed…"
Logistics Personnel,NoemDek,Lagos,,Full-time,PostedPosted 8 days ago,"Provide recommendations to management based on data analysis and industry knowledge.
Analyze and evaluate logistical data to identify areas for improvement and…"
Category Analyst - Consumer Electronics - Jumia (Full Time),Jumia,Lagos,,,PostedPosted 30+ days ago,"2-4 years experience in analyzing large data sets to make strategic decisions.
Understanding all your markets, vendors and customers, bringing valuable insights…"
BUSINESS ANALYST,GVA Partners,Lagos,,Full-time,EmployerActive 5 days ago,"An ability to visualize data using presentations, diagrams, infographics.
We require the service of a highly skilled Business Analyst with experience to join…"
